,game_date,game_id,event,team,opponent,home,goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession,shots,shots_on_goal
98,2019-08-26 02:30:00,533077,"2019 Major League Soccer, Regular Season",LA Galaxy,LAFC,0.0,3,14,5,0,3,3,7,0.34,10.0,6.0
99,2019-08-26 02:30:00,533077,"2019 Major League Soccer, Regular Season",LAFC,LA Galaxy,1.0,3,3,0,0,1,10,3,0.66,27.0,10.0
100,2019-08-22 02:30:00,533089,"2019 Major League Soccer, Regular Season",San Jose Earthquakes,LAFC,0.0,0,13,2,0,4,9,6,0.53,22.0,7.0
101,2019-08-22 02:30:00,533089,"2019 Major League Soccer, Regular Season",LAFC,San Jose Earthquakes,1.0,4,16,2,0,0,4,6,0.47,18.0,11.0
102,2019-08-18 02:00:00,533094,"2019 Major League Soccer, Regular Season",Real Salt Lake,LAFC,1.0,0,15,2,1,4,2,4,0.56,9.0,4.0
103,2019-08-18 02:00:00,533094,"2019 Major League Soccer, Regular Season",LAFC,Real Salt Lake,0.0,2,12,0,1,4,3,4,0.44,17.0,7.0
104,2019-08-12 02:00:00,533109,"2019 Major League Soccer, Regular Season",New York Red Bulls,LAFC,0.0,2,14,4,0,4,2,1,0.4,11.0,5.0
105,2019-08-12 02:00:00,533109,"2019 Major League Soccer, Regular Season",LAFC,New York Red Bulls,1.0,4,16,0,0,3,6,3,0.6,12.0,6.0
106,2019-08-03 23:30:00,533130,"2019 Major League Soccer, Regular Season",New England Revolution,LAFC,1.0,0,12,1,0,5,3,5,0.43,10.0,1.0
107,2019-08-03 23:30:00,533130,"2019 Major League Soccer, Regular Season",LAFC,New England Revolution,0.0,2,11,1,0,1,7,1,0.57,22.0,7.0
108,2019-07-27 02:00:00,533136,"2019 Major League Soccer, Regular Season",LAFC,Atlanta United FC,1.0,4,15,0,0,4,13,1,0.5,16.0,10.0
109,2019-07-27 02:00:00,533136,"2019 Major League Soccer, Regular Season",Atlanta United FC,LAFC,0.0,3,14,3,0,1,5,6,0.5,11.0,3.0
110,2019-07-20 02:00:00,533157,"2019 Major League Soccer, Regular Season",LAFC,LA Galaxy,0.0,2,9,3,0,2,5,5,0.58,16.0,5.0
111,2019-07-20 02:00:00,533157,"2019 Major League Soccer, Regular Season",LA Galaxy,LAFC,1.0,3,19,5,0,9,5,3,0.42,12.0,8.0
112,2019-07-13 01:00:00,533175,"2019 Major League Soccer, Regular Season",LAFC,Houston Dynamo,0.0,3,6,1,0,4,2,4,0.51,14.0,8.0
113,2019-07-13 01:00:00,533175,"2019 Major League Soccer, Regular Season",Houston Dynamo,LAFC,1.0,1,11,1,0,3,4,5,0.49,14.0,6.0
114,2019-07-07 02:30:00,533179,"2019 Major League Soccer, Regular Season",LAFC,Vancouver Whitecaps,1.0,6,8,1,0,1,10,2,0.67,31.0,14.0
115,2019-07-07 02:30:00,533179,"2019 Major League Soccer, Regular Season",Vancouver Whitecaps,LAFC,0.0,1,8,2,1,1,3,9,0.33,5.0,3.0
116,2019-07-04 00:30:00,533191,"2019 Major League Soccer, Regular Season",LAFC,Sporting Kansas City,0.0,5,14,3,0,8,1,5,0.38,11.0,7.0
117,2019-07-04 00:30:00,533191,"2019 Major League Soccer, Regular Season",Sporting Kansas City,LAFC,1.0,1,13,5,0,1,3,2,0.62,21.0,7.0
118,2019-06-29 02:00:00,533206,"2019 Major League Soccer, Regular Season",Colorado Rapids,LAFC,1.0,1,11,3,0,1,5,3,0.34,7.0,2.0
119,2019-06-29 02:00:00,533206,"2019 Major League Soccer, Regular Season",LAFC,Colorado Rapids,0.0,0,12,2,0,0,5,1,0.66,12.0,3.0
120,2019-05-25 02:30:00,533250,"2019 Major League Soccer, Regular Season",LAFC,Montreal Impact,1.0,4,11,1,0,5,5,6,0.57,17.0,10.0
121,2019-05-25 02:30:00,533250,"2019 Major League Soccer, Regular Season",Montreal Impact,LAFC,0.0,2,5,0,0,1,4,6,0.43,10.0,7.0
122,2019-05-19 23:30:00,533256,"2019 Major League Soccer, Regular Season",FC Dallas,LAFC,1.0,1,16,4,1,1,3,5,0.42,9.0,4.0
123,2019-05-19 23:30:00,533256,"2019 Major League Soccer, Regular Season",LAFC,FC Dallas,0.0,1,15,2,0,1,6,3,0.58,17.0,6.0
124,2019-05-17 02:00:00,533265,"2019 Major League Soccer, Regular Season",FC Dallas,LAFC,0.0,0,10,1,0,1,2,4,0.5,6.0,0.0
125,2019-05-17 02:00:00,533265,"2019 Major League Soccer, Regular Season",LAFC,FC Dallas,1.0,2,12,1,0,0,9,0,0.5,27.0,6.0
126,2019-05-11 23:30:00,533275,"2019 Major League Soccer, Regular Season",Columbus Crew SC,LAFC,1.0,0,13,3,0,2,6,5,0.47,8.0,1.0
127,2019-05-11 23:30:00,533275,"2019 Major League Soccer, Regular Season",LAFC,Columbus Crew SC,0.0,3,14,1,0,2,6,1,0.53,20.0,8.0
128,2019-05-05 02:30:00,533287,"2019 Major League Soccer, Regular Season",Chicago Fire,LAFC,0.0,0,15,3,0,0,3,4,0.36,9.0,1.0
129,2019-05-05 02:30:00,533287,"2019 Major League Soccer, Regular Season",LAFC,Chicago Fire,1.0,0,8,1,0,4,7,1,0.64,22.0,5.0
130,2019-04-28 19:30:00,533300,"2019 Major League Soccer, Regular Season",LAFC,Seattle Sounders FC,0.0,1,7,2,0,3,4,2,0.74,21.0,5.0
131,2019-04-28 19:30:00,533300,"2019 Major League Soccer, Regular Season",Seattle Sounders FC,LAFC,1.0,1,14,2,1,0,5,4,0.26,4.0,3.0
132,2019-04-21 23:00:00,533316,"2019 Major League Soccer, Regular Season",Seattle Sounders FC,LAFC,0.0,1,19,4,0,1,4,4,0.42,6.0,2.0
133,2019-04-21 23:00:00,533316,"2019 Major League Soccer, Regular Season",LAFC,Seattle Sounders FC,1.0,4,15,1,0,1,5,1,0.58,16.0,8.0
134,2019-04-18 02:00:00,533328,"2019 Major League Soccer, Regular Season",Vancouver Whitecaps,LAFC,1.0,1,17,3,0,2,5,3,0.39,11.0,4.0
135,2019-04-18 02:00:00,533328,"2019 Major League Soccer, Regular Season",LAFC,Vancouver Whitecaps,0.0,0,17,2,0,0,3,3,0.61,14.0,3.0
136,2019-04-14 02:30:00,533329,"2019 Major League Soccer, Regular Season",FC Cincinnati,LAFC,0.0,0,14,1,0,1,2,5,0.43,7.0,2.0
137,2019-04-14 02:30:00,533329,"2019 Major League Soccer, Regular Season",LAFC,FC Cincinnati,1.0,2,13,1,0,0,6,2,0.57,22.0,7.0
138,2019-04-06 19:00:00,533349,"2019 Major League Soccer, Regular Season",LAFC,DC United,0.0,4,14,0,0,5,3,3,0.52,20.0,8.0
139,2019-04-06 19:00:00,533349,"2019 Major League Soccer, Regular Season",DC United,LAFC,1.0,0,13,3,1,2,9,4,0.48,13.0,4.0
140,2019-03-30 19:30:00,533359,"2019 Major League Soccer, Regular Season",San Jose Earthquakes,LAFC,1.0,0,15,3,0,3,2,4,0.52,6.0,2.0
141,2019-03-30 19:30:00,533359,"2019 Major League Soccer, Regular Season",LAFC,San Jose Earthquakes,0.0,5,13,2,0,0,7,2,0.48,20.0,10.0
